,True_parasitized
0,C39P4thinF_original_IMG_20150622_105253_cell_94.png
1,C180P141NThinF_IMG_20151201_165453_cell_32.png
2,C93P54ThinF_IMG_20150821_164024_cell_201.png
3,C82P43ThinF_IMG_20150817_125326_cell_24.png
4,C133P94ThinF_IMG_20151004_155012_cell_4.png
5,C68P29N_ThinF_IMG_20150819_133350_cell_183.png
6,C164P125ThinF_IMG_20151116_114404_cell_180.png
7,C48P9thinF_IMG_20150721_162732_cell_18.png
8,C60P21thinF_IMG_20150804_105639_cell_7.png
9,C174P135NThinF_IMG_20151127_135554_cell_185.png
10,C66P27N_ThinF_IMG_20150818_164702_cell_155.png
11,C137P98ThinF_IMG_20151005_161306_cell_2.png
12,C184P145ThinF_IMG_20151203_102543_cell_148.png
13,C183P144NThinF_IMG_20151201_224107_cell_121.png
14,C180P141NThinF_IMG_20151201_165528_cell_179.png
15,C132P93ThinF_IMG_20151004_151941_cell_2.png
16,C137P98ThinF_IMG_20151005_161306_cell_13.png
17,C97P58ThinF_IMG_20150917_152032_cell_163.png
18,C187P148NThinF_IMG_20151203_153036_cell_130.png
19,C84P45ThinF_IMG_20150818_102654_cell_75.png
20,C91P52ThinF_IMG_20150821_125154_cell_202.png
21,C129P90ThinF_IMG_20151004_133329_cell_100.png
22,C76P37ThinF_IMG_20150815_171214_cell_196.png
23,C60P21thinF_IMG_20150804_105034_cell_104.png
24,C100P61ThinF_IMG_20150918_145042_cell_162.png
25,C180P141NThinF_IMG_20151201_170110_cell_8.png
26,C66P27N_ThinF_IMG_20150818_163419_cell_206.png
27,C174P135NThinF_IMG_20151127_135554_cell_191.png
28,C70P31_ThinF_IMG_20150819_141436_cell_107.png
29,C109P70ThinF_IMG_20150930_103214_cell_185.png
30,C89P50ThinF_IMG_20150820_162504_cell_196.png
31,C76P37ThinF_IMG_20150815_171214_cell_203.png
32,C68P29N_ThinF_IMG_20150819_133350_cell_153.png
33,C182P143NThinF_IMG_20151201_172257_cell_178.png
34,C101P62ThinF_IMG_20150918_151507_cell_76.png
35,C101P62ThinF_IMG_20150918_151335_cell_51.png
36,C99P60ThinF_IMG_20150918_141620_cell_38.png
37,C39P4thinF_original_IMG_20150622_111326_cell_20.png
38,C82P43ThinF_IMG_20150817_124728_cell_23.png
39,C159P120ThinF_IMG_20151115_190002_cell_230.png
40,C111P72ThinF_IMG_20150930_113610_cell_202.png
41,C176P137NThinF_IMG_20151201_121808_cell_120.png
42,C112P73ThinF_IMG_20150930_131605_cell_182.png
43,C129P90ThinF_IMG_20151004_133921_cell_113.png
44,C51AP12thinF_IMG_20150724_155557_cell_72.png
45,C132P93ThinF_IMG_20151004_152505_cell_121.png
46,C80P41ThinF_IMG_20150817_112557_cell_15.png
47,C129P90ThinF_IMG_20151004_134636_cell_21.png
48,C99P60ThinF_IMG_20150918_141129_cell_118.png
49,C70P31_ThinF_IMG_20150819_141730_cell_104.png
50,C131P92ThinF_IMG_20151004_145224_cell_140.png
51,C60P21thinF_IMG_20150803_144629_cell_2.png
52,C68P29N_ThinF_IMG_20150819_133350_cell_128.png
53,C97P58ThinF_IMG_20150917_150838_cell_162.png
54,C189P150ThinF_IMG_20151203_142113_cell_80.png
55,C182P143NThinF_IMG_20151201_172216_cell_132.png
56,C129P90ThinF_IMG_20151004_133244_cell_104.png
57,C136P97ThinF_IMG_20151005_140538_cell_120.png
58,C132P93ThinF_IMG_20151004_152045_cell_145.png
59,C46P7ThinF_IMG_20151130_205828_cell_146.png
60,C107P68ThinF_IMG_20150924_221632_cell_173.png
61,C182P143NThinF_IMG_20151201_172257_cell_192.png
62,C101P62ThinF_IMG_20150918_151942_cell_82.png
63,C78P39ThinF_IMG_20150606_104426_cell_155.png
64,C51AP12thinF_IMG_20150724_155947_cell_98.png
65,C101P62ThinF_IMG_20150918_151942_cell_74.png
66,C182P143NThinF_IMG_20151201_172759_cell_52.png
67,C133P94ThinF_IMG_20151004_154919_cell_131.png
68,C59P20thinF_IMG_20150803_113809_cell_13.png
69,C68P29N_ThinF_IMG_20150819_134504_cell_162.png
70,C81P42ThinF_IMG_20150817_115942_cell_218.png
71,C60P21thinF_IMG_20150804_104919_cell_132.png
72,C39P4thinF_original_IMG_20150622_113632_cell_18.png
73,C132P93ThinF_IMG_20151004_153030_cell_1.png
74,C59P20thinF_IMG_20150803_113139_cell_23.png
75,C132P93ThinF_IMG_20151004_153030_cell_7.png
76,C118P79ThinF_IMG_20151002_105018_cell_139.png
77,C101P62ThinF_IMG_20150918_151149_cell_70.png
78,C182P143NThinF_IMG_20151201_172759_cell_13.png
79,C116P77ThinF_IMG_20150930_171558_cell_105.png
80,C101P62ThinF_IMG_20150923_165215_cell_21.png
81,C99P60ThinF_IMG_20150918_142334_cell_2.png
82,C69P30N_ThinF_IMG_20150819_135421_cell_214.png
83,C184P145ThinF_IMG_20151203_102405_cell_153.png
84,C133P94ThinF_IMG_20151004_154351_cell_103.png
85,C101P62ThinF_IMG_20150923_170344_cell_82.png
86,C98P59ThinF_IMG_20150917_153311_cell_160.png
87,C116P77ThinF_IMG_20150930_171635_cell_90.png
88,C130P91ThinF_IMG_20151004_141825_cell_137.png
