,True_uninfected
0,C76P37ThinF_IMG_20150815_172902_cell_45.png
1,C68P29N_ThinF_IMG_20150819_134504_cell_62.png
2,C174P135NThinF_IMG_20151127_135342_cell_55.png
3,C235ThinF_IMG_20151112_164918_cell_92.png
4,C208ThinF_IMG_20151029_155827_cell_197.png
5,C56P17thinF_IMG_20150728_160438_cell_29.png
6,C100P61ThinF_IMG_20150918_144348_cell_131.png
7,C241NThinF_IMG_20151207_124608_cell_125.png
8,C220ThinF_IMG_20151106_154510_cell_54.png
9,C118P79ThinF_IMG_20151002_104831_cell_28.png
10,C4thin_original_IMG_20150608_170016_cell_96.png
11,C4thin_original_IMG_20150608_170038_cell_214.png
12,C157P118ThinF_IMG_20151115_163611_cell_35.png
13,C60P21thinF_IMG_20150804_105034_cell_100.png
14,C235ThinF_IMG_20151112_165055_cell_244.png
15,C206ThinF_IMG_20151029_140917_cell_225.png
16,C119P80ThinF_IMG_20151002_123911_cell_54.png
17,C227ThinF_IMG_20151112_135818_cell_144.png
18,C132P93ThinF_IMG_20151004_152045_cell_34.png
19,C107P68ThinF_IMG_20150924_221632_cell_69.png
20,C74P35_ThinF_IMG_20150815_114153_cell_63.png
21,C181P142ThinF_IMG_20151127_160650_cell_116.png
22,C151P112ThinF_IMG_20151115_121725_cell_136.png
23,C122P83ThinF_IMG_20151002_145014_cell_33.png
24,C186P147NThinF_IMG_20151203_150222_cell_130.png
25,C90P51ThinF_IMG_20150821_120044_cell_37.png
26,C48P9thinF_IMG_20150721_160406_cell_160.png
27,C103P64ThinF_IMG_20150918_164553_cell_42.png
28,C119P80ThinF_IMG_20151002_124425_cell_32.png
29,C61P22N_ThinF_IMG_20150818_112626_cell_54.png
30,C201ThinF_IMG_20150930_143411_cell_216.png
31,C187P148NThinF_IMG_20151203_154503_cell_68.png
32,C150P111ThinF_IMG_20151115_115950_cell_4.png
33,C227ThinF_IMG_20151112_135158_cell_122.png
34,C234ThinF_IMG_20151112_163036_cell_13.png
35,C120P81ThinF_IMG_20151002_130715_cell_161.png
36,C116P77ThinF_IMG_20150930_171448_cell_53.png
37,C83P44ThinF_IMG_20150817_133355_cell_147.png
38,C90P51ThinF_IMG_20150821_115056_cell_113.png
39,C58P19thinF_IMG_20150802_121847_cell_44.png
40,C171P132ThinF_IMG_20151119_153512_cell_114.png
41,C184P145ThinF_IMG_20151203_103114_cell_51.png
42,C100P61ThinF_IMG_20150918_145609_cell_46.png
43,C231ThinF_IMG_20151112_153147_cell_158.png
44,C213ThinF_IMG_20151106_112252_cell_33.png
45,C168P129ThinF_IMG_20151118_154126_cell_105.png
46,C126P87ThinF_IMG_20151004_105844_cell_6.png
47,C182P143NThinF_IMG_20151201_171905_cell_44.png
48,C6NThinF_IMG_20150609_122832_cell_170.png
49,C56P17thinF_IMG_20150728_160537_cell_81.png
50,C229ThinF_IMG_20151112_144147_cell_146.png
51,C182P143NThinF_IMG_20151201_172057_cell_67.png
52,C56P17thinF_IMG_20150728_160438_cell_68.png
53,C76P37ThinF_IMG_20150815_172808_cell_15.png
54,C132P93ThinF_IMG_20151004_152045_cell_36.png
55,C100P61ThinF_IMG_20150918_145609_cell_121.png
56,C13NThinF_IMG_20150614_131529_cell_117.png
57,C145P106ThinF_IMG_20151016_154921_cell_54.png
58,C5NThinF_IMG_20150609_122034_cell_147.png
59,C120P81ThinF_IMG_20151002_130407_cell_119.png
60,C119P80ThinF_IMG_20151002_123911_cell_44.png
61,C157P118ThinF_IMG_20151115_164755_cell_93.png
62,C138P99ThinF_IMG_20151005_171940_cell_117.png
63,C42P5thin_original_IMG_20150623_134426_cell_152.png
64,C135P96ThinF_IMG_20151005_124031_cell_72.png
65,C85P46ThinF_IMG_20150820_105154_cell_174.png
66,C179P140ThinF_IMG_20151127_153453_cell_114.png
67,C155P116ThinF_IMG_20151115_142805_cell_102.png
68,C65P26N_ThinF_IMG_20150818_154714_cell_20.png
69,C87P48ThinF_IMG_20150820_144714_cell_173.png
70,C60P21thinF_IMG_20150804_104919_cell_114.png
71,C76P37ThinF_IMG_20150815_173019_cell_73.png
72,C79P40ThinF_IMG_20150817_104316_cell_53.png
73,C164P125ThinF_IMG_20151116_113550_cell_4.png
74,C210ThinF_IMG_20151029_162605_cell_194.png
75,C209ThinF_IMG_20151029_160857_cell_276.png
76,C3thin_original_IMG_20150608_163047_cell_103.png
77,C60P21thinF_IMG_20150803_144510_cell_8.png
78,C49P10thinF_IMG_20150724_103054_cell_5.png
79,C161P122ThinF_IMG_20151116_101059_cell_37.png
80,C167P128ReThinF_IMG_20151201_105102_cell_219.png
81,C78P39ThinF_IMG_20150606_103630_cell_55.png
82,C66P27N_ThinF_IMG_20150818_164754_cell_95.png
83,C127P88ThinF_IMG_20151004_112004_cell_95.png
84,C151P112ThinF_IMG_20151115_121942_cell_124.png
85,C81P42ThinF_IMG_20150817_120712_cell_57.png
86,C119P80ThinF_IMG_20151002_124425_cell_101.png
87,C95P56ThinF_IMG_20150821_171603_cell_19.png
88,C209ThinF_IMG_20151029_160721_cell_43.png
89,C72P33_ThinF_IMG_20150815_104843_cell_66.png
90,C234ThinF_IMG_20151112_162909_cell_206.png
91,C156P117ThinF_IMG_20151115_155104_cell_191.png
92,C181P142ThinF_IMG_20151127_160514_cell_81.png
93,C124P85ThinF_IMG_20151002_155101_cell_164.png
94,C204ThinF_IMG_20151029_110834_cell_183.png
95,C84P45ThinF_IMG_20150818_101412_cell_57.png
96,C121P82ThinF_IMG_20151002_134659_cell_52.png
97,C225ThinF_IMG_20151112_113953_cell_201.png
98,C230ThinF_IMG_20151112_150753_cell_143.png
99,C210ThinF_IMG_20151029_162934_cell_181.png
100,C91P52ThinF_IMG_20150821_123314_cell_16.png
101,C101P62ThinF_IMG_20150918_155731_cell_12.png
102,C175P136NThinF_IMG_20151127_141325_cell_113.png
103,C171P132ThinF_IMG_20151119_153347_cell_70.png
104,C1_thinF_IMG_20150604_104919_cell_134.png
105,C130P91ThinF_IMG_20151004_142951_cell_132.png
106,C209ThinF_IMG_20151029_160721_cell_176.png
107,C185P146ThinF_IMG_20151203_111121_cell_134.png
108,C215ThinF_IMG_20151106_133012_cell_233.png
109,C47P8thinOriginalOlympusCX21_IMG_20150717_173432_cell_46.png
110,C128P89ThinF_IMG_20151004_131231_cell_49.png
111,C134P95ThinF_IMG_20151005_122552_cell_83.png
112,C154P115ThinF_IMG_20151115_141336_cell_133.png
113,C49P10thinF_IMG_20150724_103233_cell_44.png
114,C91P52ThinF_IMG_20150821_124504_cell_13.png
115,C228ThinF_IMG_20151112_142452_cell_105.png
116,C126P87ThinF_IMG_20151004_105342_cell_10.png
117,C138P99ThinF_IMG_20151005_173453_cell_112.png
118,C143P104ThinF_IMG_20151005_225454_cell_18.png
119,C202ThinF_IMG_20151015_152701_cell_246.png
120,C207ThinF_IMG_20151029_144033_cell_223.png
121,C52P13thinF_IMG_20150725_124606_cell_100.png
122,C122P83ThinF_IMG_20151002_145014_cell_76.png
123,C234ThinF_IMG_20151112_162940_cell_126.png
124,C231ThinF_IMG_20151112_153106_cell_14.png
125,C189P150ThinF_IMG_20151203_141455_cell_69.png
126,C209ThinF_IMG_20151029_160803_cell_197.png
127,C239ThinF_IMG_20151127_113253_cell_169.png
128,C216ThinF_IMG_20151106_134733_cell_65.png
129,C218ThinF_IMG_20151106_144228_cell_163.png
130,C177P138NThinF_IMG_20151201_142846_cell_144.png
131,C103P64ThinF_IMG_20150918_164553_cell_133.png
132,C201ThinF_IMG_20150930_143129_cell_47.png
133,C93P54ThinF_IMG_20150821_163452_cell_168.png
134,C226ThinF_IMG_20151112_131408_cell_91.png
135,C100P61ThinF_IMG_20150918_144348_cell_108.png
136,C42P5thin_original_IMG_20150623_134919_cell_185.png
137,C76P37ThinF_IMG_20150815_171454_cell_112.png
138,C52P13thinF_IMG_20150725_123938_cell_135.png
139,C93P54ThinF_IMG_20150821_163452_cell_102.png
